;ID;Trial;Time;Montage;Dose;Groups;Lag;Side;Entropy;Replica;Teste
315;GSM;16;74.0;0;0;AC;7;R;0.06673493;0;
316;GSM;17;76.5;0;2;AC;6;R;0.06374578;3;
317;GSM;18;84.0;0;0;AC;9;R;0.06880886;0;
318;GSM;19;86.5;0;2;AC;18;R;0.0417944;3;
319;GSM;20;94.0;0;0;AC;16;R;0.03933241;0;
320;GSM;1;2.0;1;0;baseline;8;R;0.05763096;0;
321;GSM;2;4.0;1;0;CC;7;R;0.03556806;0;
322;GSM;3;6.5;1;1;CC;13;R;0.03395031;1;
323;GSM;4;14.0;1;0;CC;9;R;0.06997299;0;
324;GSM;5;16.5;1;1;CC;14;R;0.03774722;1;
325;GSM;6;24.0;1;0;CC;5;R;0.03717972;0;
326;GSM;7;26.5;1;1;CC;7;R;0.07396982;1;
327;GSM;8;34.0;1;0;CC;7;R;0.05885183;0;
328;GSM;9;36.5;1;2;CC;9;R;0.07135812;2;
329;GSM;10;44.0;1;0;CC;9;R;0.06374698;0;
330;GSM;11;46.5;1;2;CC;11;R;0.07331237;2;
331;GSM;12;54.0;1;0;CC;6;R;0.06781663;0;
332;GSM;13;56.5;1;2;CC;14;R;0.03917347;2;
333;GSM;14;64.0;1;0;CC;8;R;0.05659516;0;
334;GSM;15;66.5;1;3;CC;10;R;0.04926833;3;
335;GSM;16;74.0;1;0;CC;9;R;0.01996802;0;
336;GSM;17;76.5;1;3;CC;20;R;0.03540918;3;
337;GSM;18;84.0;1;0;CC;7;R;0.06047651;0;
338;GSM;19;86.5;1;3;CC;20;R;0.02986733;3;
339;GSM;20;94.0;1;0;CC;18;R;0.02578139;0;
340;GSM;1;2.0;2;0;baseline;6;R;0.05693867;0;
341;GSM;2;4.0;2;0;SHAM-CC;20;R;0.03084826;0;
342;GSM;3;6.5;2;2;SHAM-CC;20;R;0.02705001;1;CC
343;GSM;4;14.0;2;0;SHAM-CC;5;R;0.05566326;0;
344;GSM;5;16.5;2;2;SHAM-CC;20;R;0.03684734;1;CC
345;GSM;6;24.0;2;0;SHAM-CC;7;R;0.05925944;0;
346;GSM;7;26.5;2;2;SHAM-CC;7;R;0.09226835;1;CC
347;GSM;8;34.0;2;0;SHAM-CC;5;R;0.03413851;0;
348;GSM;9;36.5;2;3;SHAM-CC;6;R;0.08453898;2;CC
349;GSM;10;44.0;2;0;SHAM-CC;6;R;0.07460804;0;
350;GSM;11;46.5;2;3;SHAM-CC;15;R;0.03455198;2;CC
351;GSM;12;54.0;2;0;SHAM-CC;20;R;0.0370174;0;
352;GSM;13;56.5;2;3;SHAM-CC;18;R;0.04345207;2;CC
353;GSM;14;64.0;2;0;SHAM-CC;7;R;0.04826432;0;
354;GSM;15;66.5;2;1;SHAM-CC;20;R;0.03940471;3;CC
355;GSM;16;74.0;2;0;SHAM-CC;6;R;0.06351974;0;
356;GSM;17;76.5;2;1;SHAM-CC;12;R;0.05089303;3;CC
357;GSM;18;84.0;2;0;SHAM-CC;20;R;0.02557339;0;
358;GSM;19;86.5;2;1;SHAM-CC;14;R;0.04089238;3;CC
359;GSM;20;94.0;2;0;SHAM-CC;4;R;0.03825994;0;
360;GSR;1;2.0;0;0;baseline;18;R;0.1232982;0;
361;GSR;2;4.0;0;0;AC;12;R;0.09144373;0;
362;GSR;3;6.5;0;1;AC;13;R;0.09201198;1;
363;GSR;4;14.0;0;0;AC;17;R;0.07549065;0;
364;GSR;5;16.5;0;1;AC;16;R;0.09879672;1;
365;GSR;6;24.0;0;0;AC;16;R;0.06997222;0;
366;GSR;7;26.5;0;1;AC;17;R;0.09607431;1;
